---------------------------------------------
                   Orthogonal Coordinates  
 No.     Label    xo [Å]   yo [Å]   zo [Å]   
  6358.  Zn3      -1.4662   1.0055   1.5160
  6458.  Zn31     -1.1611   1.7028   0.6880
  6460.  Zn31     -0.6880   1.1611   1.7028
  6465.  Zn31     -1.7028   0.6880   1.1611
  6503.  Zn31     -1.7028   1.1611   0.6880
  6507.  Zn31     -1.1611   0.6880   1.7028
  6508.  Zn31     -0.6880   1.7028   1.1611
  6563.  Zn32     -0.8125   1.1456   1.4631
  6572.  Zn32     -1.1456   0.8125   1.4631
  6586.  Zn32     -1.4631   0.8125   1.1456
  6592.  Zn32     -1.4631   1.1456   0.8125
  6615.  Zn32     -0.8125   1.4631   1.1456
  6621.  Zn32     -1.1456   1.4631   0.8125
  6664.  Zn33     -1.7152   1.6467   1.0304
  6675.  Zn33     -1.6467   1.7152   1.0304
  6681.  Zn33     -1.0304   1.7152   1.6467
  6686.  Zn33     -1.0304   1.6467   1.7152
  6706.  Zn33     -1.7152   1.0304   1.6467
  6713.  Zn33     -1.6467   1.0304   1.7152
  6759.  Zn34     -1.0210   0.7502   0.4794
  6766.  Zn34     -0.7502   1.0210   0.4794
  6773.  Zn34     -0.4794   1.0210   0.7502
  6789.  Zn34     -0.4794   0.7502   1.0210
  6800.  Zn34     -1.0210   0.4794   0.7502
  6814.  Zn34     -0.7502   0.4794   1.0210
  6843.  Zn36     -1.3604   1.2576   0.6880
  6845.  Zn36     -0.6880   1.3604   1.2576
  6847.  Zn36     -1.2576   0.6880   1.3604
  6886.  Zn36     -1.2576   1.3604   0.6880
  6890.  Zn36     -1.3604   0.6880   1.2576
  6894.  Zn36     -0.6880   1.2576   1.3604
  6946.  Zn37     -1.1891   1.5814   1.3541
  6957.  Zn37     -1.5814   1.1891   1.3541
  6972.  Zn37     -1.3541   1.1891   1.5814
  6977.  Zn37     -1.3541   1.5814   1.1891
  6997.  Zn37     -1.1891   1.3541   1.5814
  7004.  Zn37     -1.5814   1.3541   1.1891
  7050.  Zn38     -1.7059   0.8561   0.8063
  7057.  Zn38     -0.8561   1.7059   0.8063
  7064.  Zn38     -0.8063   1.7059   0.8561
  7071.  Zn38     -0.8063   0.8561   1.7059
  7091.  Zn38     -1.7059   0.8063   0.8561
  7096.  Zn38     -0.8561   0.8063   1.7059
  7142.  Zn39     -0.8716   0.8094   1.0740
  7151.  Zn39     -0.8094   0.8716   1.0740
  7156.  Zn39     -1.0740   0.8716   0.8094
  7171.  Zn39     -1.0740   0.8094   0.8716
  7185.  Zn39     -0.8716   1.0740   0.8094
  7200.  Zn39     -0.8094   1.0740   0.8716
  7205.  Zn4      -0.8094   0.6942   0.8779
  7208.  Zn4      -0.6942   0.8094   0.8779
  7210.  Zn4      -0.8779   0.8094   0.6942
  7215.  Zn4      -0.8779   0.6942   0.8094
  7219.  Zn4      -0.8094   0.8779   0.6942
  7224.  Zn4      -0.6942   0.8779   0.8094
  7297.  Zn41     -1.0615   0.6848   0.5666
  7298.  Zn41     -0.5666   1.0615   0.6848
  7299.  Zn41     -0.6848   0.5666   1.0615
  7312.  Zn41     -0.6848   1.0615   0.5666
  7313.  Zn41     -1.0615   0.5666   0.6848
  7314.  Zn41     -0.5666   0.6848   1.0615
  7396.  Zn42     -1.5378   0.8872   1.6561
  7399.  Zn42     -0.8872   1.5378   1.6561
  7404.  Zn42     -1.6561   1.5378   0.8872
  7406.  Zn42     -1.6561   0.8872   1.5378
  7413.  Zn42     -1.5378   1.6561   0.8872
  7415.  Zn42     -0.8872   1.6561   1.5378
  7494.  Zn43     -1.6374   0.8810   1.3074
  7497.  Zn43     -0.8810   1.6374   1.3074
  7499.  Zn43     -1.3074   1.6374   0.8810
  7501.  Zn43     -1.3074   0.8810   1.6374
  7508.  Zn43     -1.6374   1.3074   0.8810
  7510.  Zn43     -0.8810   1.3074   1.6374
  7589.  Zn44     -1.4662   0.5666   1.3417
  7592.  Zn44     -0.5666   1.4662   1.3417
  7594.  Zn44     -1.3417   1.4662   0.5666
  7599.  Zn44     -1.3417   0.5666   1.4662
  7603.  Zn44     -1.4662   1.3417   0.5666
  7608.  Zn44     -0.5666   1.3417   1.4662
  7705.  Zn46     -0.7315   1.5253   0.7658
  7710.  Zn46     -0.7658   0.7315   1.5253
